graph_model,sybil_size,overlap,rep,tau,w_eff,r_eff,sampled
erdos_renyi,10,0.0,0,0.6337589764543916,6.337589764543916,6.337589764543916,False
erdos_renyi,10,0.0,1,0.6293457180655344,6.293457180655344,6.293457180655344,False
erdos_renyi,10,0.0,2,0.6289327391003277,6.289327391003276,6.289327391003276,False
erdos_renyi,10,0.0,3,0.6317521438077581,6.3175214380775815,6.3175214380775815,False
erdos_renyi,10,0.0,4,0.6319694627261496,6.319694627261496,6.319694627261496,False
erdos_renyi,10,0.0,5,0.6269172697885288,6.269172697885288,6.269172697885288,False
erdos_renyi,10,0.0,6,0.6271213035121517,6.271213035121517,6.271213035121517,False
erdos_renyi,10,0.0,7,0.6288864305031998,6.288864305031998,6.288864305031998,False
erdos_renyi,10,0.0,8,0.6297572283138968,6.297572283138968,6.297572283138968,False
erdos_renyi,10,0.0,9,0.6270486300382077,6.2704863003820765,6.2704863003820765,False
erdos_renyi,10,0.0,10,0.6313017723401979,6.313017723401979,6.313017723401979,False
erdos_renyi,10,0.0,11,0.6295597656379565,6.295597656379565,6.295597656379565,False
erdos_renyi,10,0.0,12,0.6281977515979232,6.281977515979232,6.281977515979232,False
erdos_renyi,10,0.0,13,0.6264287697539035,6.264287697539035,6.264287697539035,False
erdos_renyi,10,0.0,14,0.631721167670994,6.31721167670994,6.31721167670994,False
erdos_renyi,10,0.0,15,0.6285269916316507,6.285269916316507,6.285269916316507,False
erdos_renyi,10,0.0,16,0.6283833778369972,6.283833778369972,6.283833778369972,False
erdos_renyi,10,0.0,17,0.6323635169134327,6.323635169134327,6.323635169134327,False
erdos_renyi,10,0.0,18,0.6290610252349398,6.290610252349397,6.290610252349397,False
erdos_renyi,10,0.0,19,0.6291129117721336,6.2911291177213355,6.2911291177213355,False
erdos_renyi,10,0.0,20,0.6305589351101482,6.3055893511014816,6.3055893511014816,False
erdos_renyi,10,0.0,21,0.6313392292291994,6.313392292291994,6.313392292291994,False
erdos_renyi,10,0.0,22,0.6276453431128524,6.276453431128523,6.276453431128523,False
erdos_renyi,10,0.0,23,0.628174644439975,6.281746444399749,6.281746444399749,False
erdos_renyi,10,0.0,24,0.6295583177921098,6.295583177921098,6.295583177921098,False
erdos_renyi,10,0.0,25,0.632725435230795,6.327254352307951,6.327254352307951,False
erdos_renyi,10,0.0,26,0.6302088753219771,6.302088753219771,6.302088753219771,False
erdos_renyi,10,0.0,27,0.6296211162473137,6.296211162473137,6.296211162473137,False
erdos_renyi,10,0.0,28,0.6314200164281898,6.314200164281898,6.314200164281898,False
erdos_renyi,10,0.0,29,0.6263825865103914,6.263825865103914,6.263825865103914,False
erdos_renyi,10,0.3,0,0.5429074807024209,5.429074807024209,5.429074807024209,False
erdos_renyi,10,0.3,1,0.5438697568720745,5.438697568720745,5.438697568720745,False
erdos_renyi,10,0.3,2,0.5435450034516327,5.435450034516327,5.435450034516327,False
erdos_renyi,10,0.3,3,0.5445285505696631,5.445285505696631,5.445285505696631,False
erdos_renyi,10,0.3,4,0.5422300780343666,5.422300780343666,5.422300780343666,False
erdos_renyi,10,0.3,5,0.5422400780763742,5.422400780763742,5.422400780763742,False
erdos_renyi,10,0.3,6,0.5431444630256509,5.431444630256509,5.431444630256509,False
erdos_renyi,10,0.3,7,0.5442394832714985,5.442394832714985,5.442394832714985,False
erdos_renyi,10,0.3,8,0.5444641764729256,5.444641764729256,5.444641764729256,False
erdos_renyi,10,0.3,9,0.5444853521676325,5.444853521676325,5.444853521676325,False
erdos_renyi,10,0.3,10,0.5429862921303058,5.429862921303058,5.429862921303058,False
erdos_renyi,10,0.3,11,0.5443812808051907,5.443812808051907,5.443812808051907,False
